index,index,symbol,date,start,end,open,high,low,close,vol,type,price_change,volatility,rsi_6,rsi_7,rsi_9,rsi_12,rsi_14,rsi_30,rsi_6_of_high,rsi_9_of_high,rsi_14_of_high,rsi_6_of_low,rsi_9_of_low,rsi_14_of_low,ema_34,ema_89,ma_20,ma_50,ma_200,ema_trend,macd,macd_signal,adx_14,position
0,14022,BTCUSDT,2025-07-10,2025-07-10 05:45:00,2025-07-10 05:59:59,110950.7,111160.67,110944.0,111086.14,108.92834,1,0.00122063211673,73.45069213879907,53.50049401749324,52.27181455335175,51.33940520550816,51.77898781210146,52.46428417224693,56.11229624171888,54.44101651215035,51.25356982999789,52.144251658275785,40.85911493278916,43.95924913903646,49.97180660039071,110954.26466012352,110306.73492118556,111106.6715,110890.6998,109274.80625,647.5297389379703,31.375466871555545,69.6777605786979,19.067689593239898,-
1,14023,BTCUSDT,2025-07-10,2025-07-10 06:00:00,2025-07-10 06:14:59,111086.14,111185.18,111086.14,111142.0,94.05543,1,0.0005028530111856,79.10661620796935,59.14874665379502,57.13915254674246,54.98846631238765,54.23829274523784,54.41945530625746,56.7787787050065,57.093185416480864,53.03347307025263,53.12817813859738,62.04967452367272,57.05900232570826,56.66426034943015,110964.99239383076,110325.29636738144,111113.7715,110930.4438,109291.41035,639.6960264493246,35.50639589858474,62.84348764267527,18.91585341504643,-
2,14024,BTCUSDT,2025-07-10,2025-07-10 06:15:00,2025-07-10 06:29:59,111142.01,111306.49,111133.69,111278.66,113.45518,1,0.0012295981717083,106.54496802375596,69.88714369669546,66.80218359870368,62.68918804922803,59.72087473505434,58.87587956102077,58.378439739611565,68.11679195717412,60.96889825360202,57.75748796949981,66.82190594679508,60.53116605566155,58.65674120808088,110982.91625704044,110346.48222588409,111122.9025,110972.657,109308.5244,636.4340311563574,49.23989988389076,60.122770090918365,19.414409946949405,-
3,14025,BTCUSDT,2025-07-10,2025-07-10 06:30:00,2025-07-10 06:44:59,111278.66,111298.08,111141.92,111141.93,95.96997,0,-0.0012287171682334,99.13126858443697,53.12185760486036,52.88492489310506,52.56658310988105,52.8145434793336,53.264706802723325,56.22464979557723,66.6913562978439,60.17592877311046,57.33471602825995,67.66638866171436,61.14295229261192,59.00804318383206,110992.00275663812,110364.15884308664,111120.7015,111006.0958,109324.31575,627.8439135514782,48.53139275118883,57.80449462297246,19.877355298002165,-
4,14026,BTCUSDT,2025-07-10,2025-07-10 06:45:00,2025-07-10 06:59:59,111141.93,111283.31,111141.92,111233.34,92.2025,1,0.00082246187375,107.19280598800596,60.68764130050502,59.47072521653486,57.70333074501936,56.48467737422979,56.26562227006106,57.31380912373773,63.87436333006334,58.66831951396036,56.55180303853665,67.66638866171436,61.14295229261192,59.00804318383206,111005.7934562588,110383.47397990694,111122.883,111039.7626,109340.38625,622.319476351855,54.71519607740629,57.18663491385923,20.30723312397973,-
5,14027,BTCUSDT,2025-07-10,2025-07-10 07:00:00,2025-07-10 07:14:59,111233.33,111432.46,111220.88,111394.53,213.03813,1,0.0014491158855789,139.94147576356815,70.69553968103097,68.52260263152459,65.18313725406296,62.14827477076687,61.01888790164553,59.167083944372834,76.10496631065831,67.82568566181268,62.1695794239502,76.07839286504004,67.29800771489963,62.54896533028295,111028.006973044,110405.94189146456,111123.948,111079.7922,109357.30895,622.0650815794506,71.79498277368839,60.108304485825066,21.458181965315884,-
6,14028,BTCUSDT,2025-07-10,2025-07-10 07:15:00,2025-07-10 07:29:59,111394.53,111415.57,111310.0,111363.89,92.35291,0,-0.0002750583893122,157.588894454925,66.81561185830591,65.28885347386966,62.80792814641233,60.51502498762247,59.69084468714191,58.66622608013648,72.75763595203802,65.96380379834117,61.204491111487805,82.31129800122304,72.77403926580912,66.10752115172033,111047.20028887004,110427.2296272098,111127.344,111116.3402,109373.65755,619.9706616602634,81.91418907107436,64.46948140287492,22.526920175128023,-
7,14029,BTCUSDT,2025-07-10,2025-07-10 07:30:00,2025-07-10 07:44:59,111363.89,111375.66,111216.68,111277.32,106.02738,0,-0.0007773614948255,149.26521264343444,56.333307087221655,56.49975221568411,56.28839315082431,55.98054130874775,55.983433232660815,57.24974810763228,64.68983877910009,61.47759580708749,58.87863099291933,62.00933487127206,60.78371231751179,59.70960696986885,111060.3499866489,110446.12052438287,111132.2105,111148.7548,109389.4192,614.229462266012,82.00297817506362,67.97618075731266,22.608890914328327,-
8,14030,BTCUSDT,2025-07-10,2025-07-10 07:45:00,2025-07-10 07:59:59,111277.32,111295.11,111144.08,111230.0,90.67752,0,-0.0004252438861755,133.23091729072178,51.07719699267399,52.03284334456478,52.9110267142642,53.58621368002813,54.00878617970799,56.478655396758384,50.99469854380255,53.25399130153403,54.38642834223217,50.40336904571752,53.12327136962423,55.23124736917611,111070.0442731261,110463.5400682855,111133.01499999998,111166.4346,109404.5145,606.504204840603,77.3632205992617,69.85358872570248,22.043704975040697,-
9,14031,BTCUSDT,2025-07-10,2025-07-10 08:00:00,2025-07-10 08:14:59,111229.99,111229.99,111102.78,111123.94,104.61832,0,-0.0009535197338846,103.80522797204624,40.83072362649321,43.11869539025411,45.95791706260871,48.51282118465801,49.77137001899176,54.76827685832517,42.3058714735449,47.47785064873135,50.99880463480297,44.69306735965437,49.15839038147769,52.80493144625108,111073.12402894744,110478.21562232358,111132.647,111161.0952,109418.9463,594.908406623872,64.3858239732217,68.76003577520633,21.170044948970155,-
10,14032,BTCUSDT,2025-07-10,2025-07-10 08:15:00,2025-07-10 08:29:59,111123.94,111276.92,111123.94,111260.33,102.15806,1,0.0012273682880574,91.38070266671537,54.81779851137415,54.74936360915263,54.59087211110696,54.54956691914952,54.69411062326333,56.5199461883161,49.7153696464576,51.7231939165271,53.25839190866783,48.29456039850058,51.255351702483,53.92181565253494,111083.8215130076,110495.5959418275,111142.95,111151.30180000002,109434.3156,588.2255711800972,64.36472036053601,67.88097269227228,20.67783597321934,-
11,14033,BTCUSDT,2025-07-10,2025-07-10 08:30:00,2025-07-10 08:44:59,111260.32,111398.96,111260.32,111386.89,103.76631,1,0.0011375123550325,93.61825970307656,64.23263482249355,62.95056434334264,61.08102916730854,59.37165776379784,58.73550111070036,58.0783657511531,64.10202924235735,60.95591538718475,58.60421841950859,65.61312742909104,62.476991518946456,60.42276373938879,111101.1397122643,110515.40247645356,111161.58800000002,111152.0226,109449.67010000002,585.7372358107386,73.71063952025725,69.04690605786928,20.96658408925804,-
12,14034,BTCUSDT,2025-07-10,2025-07-10 08:45:00,2025-07-10 08:59:59,111386.89,111396.0,111222.74,111233.33,90.5218,0,-0.0013786182557031,94.19865777443398,49.28102378367562,50.09772257652991,51.1097675527616,52.06065145630997,52.604070389580016,55.578007793642186,63.57265136459608,60.63947734565635,58.42966883034369,59.070750735693714,58.31529441371745,57.99469819666731,111108.69344299204,110531.35642142124,111169.529,111156.5718,109464.33815,577.3370215707982,67.94313299846544,68.82615144598851,20.888836056902147,-
13,14035,BTCUSDT,2025-07-10,2025-07-10 09:00:00,2025-07-10 09:14:59,111233.34,111258.0,111140.0,111160.37,60.21874,0,-0.0006559185093173,91.678356090145,43.50699071996932,45.00432795487596,47.00796752780789,48.93721607407035,49.93676374984258,54.42634081150511,43.48269209616216,47.66212421850689,50.82866860516499,46.753833569738696,50.056411074334335,52.94963920115194,111111.64638910678,110545.33450094522,111179.88599999998,111159.7794,109478.94,566.3118881615665,56.829979649497545,66.42691708669032,20.094842894050316,-
14,14036,BTCUSDT,2025-07-10,2025-07-10 09:15:00,2025-07-10 09:29:59,111160.37,111211.12,111111.45,111130.0,52.21895,0,-0.0002732088783079,101.15287085431972,41.101527504608015,42.88684373006983,45.30529159779756,47.63932846633295,48.826930656847146,53.94499376510896,38.52032956992752,44.058638658880014,48.51954469948033,43.03802205531308,47.44786419835926,51.29158266207022,111112.6951668721,110558.32706759089,111183.621,111168.08,109492.7793,554.3680992812151,45.05277996411314,62.152089662174895,19.11941304373314,-
15,14037,BTCUSDT,2025-07-10,2025-07-10 09:30:00,2025-07-10 09:44:59,111130.0,111172.31,111086.27,111086.28,104.03305,0,-0.0003934131197697,101.23494718776038,37.518111327192514,39.74603248696145,42.79490573554776,45.73445868830042,47.20061450831551,53.24373818222632,34.59786807971001,41.16037883061636,46.63088846459924,39.69880434099005,45.11514006394139,49.81012826542573,111111.18572876512,110570.05935497775,111180.509,111168.9858,109506.12489999998,541.1263737873669,31.824571891949745,56.086586108129865,18.000480278593354,-
16,14038,BTCUSDT,2025-07-10,2025-07-10 09:45:00,2025-07-10 09:59:59,111086.27,111111.35,111021.57,111041.36,70.4993,0,-0.00040437036869,103.50463076024684,33.876613029924826,36.53847429332878,40.218972300170456,43.772675932764585,45.52289371144581,52.51810508464261,29.0266713806123,36.87409035269316,43.75016298403159,32.03496365157224,39.501309677256,46.123748913770726,111107.1956871214,110580.53270264492,111175.077,111165.3956,109518.90865,526.662984476483,17.514556201305822,48.37218012676506,17.000061202134372,-
17,14039,BTCUSDT,2025-07-10,2025-07-10 10:00:00,2025-07-10 10:14:59,111041.37,111088.08,110991.16,110991.17,52.42931,0,-0.0004519937435925,116.3547640955866,29.975692820320774,33.06058659875478,37.390004222365874,41.597755961292094,43.65575876455071,51.703643882631695,27.03269004186396,35.29565351346223,42.66660445764685,28.889383856542334,37.06271896509894,44.458297323592696,111100.56564785732,110589.65797591949,111175.29,111163.9916,109531.45145,510.90767193785,2.09964868069801,39.11767383755165,16.312238388806843,-
18,14040,BTCUSDT,2025-07-10,2025-07-10 10:15:00,2025-07-10 10:29:59,110991.16,111053.24,110991.16,111009.88,60.00517,1,0.0001685719683828,123.17969763718864,33.406052666996445,35.721520705351494,39.18401054406058,42.75447237856498,44.56849189864328,51.99076555996711,24.06284471774657,32.921953789094175,41.02819822943263,28.889383856542334,37.06271896509894,44.458297323592696,111095.3836108369,110598.99624312126,111176.1035,111167.822,109544.54155,496.3873677156371,-8.508950073970482,29.592349055247222,15.673545776431284,-
19,14041,BTCUSDT,2025-07-10,2025-07-10 10:30:00,2025-07-10 10:44:59,111009.87,111054.82,110912.0,110944.01,90.01555,0,-0.0005933706080937,138.3728005948308,27.677850461845694,30.707785616147547,35.19035717139306,39.73214300747783,41.98959193976007,50.88894170863721,24.51414988206132,33.15131968993063,41.13858774065344,21.11691748888505,30.79868618998333,40.0882762718108,111086.73369021765,110606.66321549634,111175.7685,111160.78260000002,109557.8158,480.07047472130216,-21.97814909744193,19.278249424709397,15.715453933795308,-
20,14042,BTCUSDT,2025-07-10,2025-07-10 10:45:00,2025-07-10 10:59:59,110944.01,111098.3,110870.33,111088.51,153.62521,1,0.001302458780785,130.02954584773323,50.17051860065499,49.020539317688886,48.21577516212587,48.45253997829603,48.96598809552119,53.14249858945438,36.89840788087828,39.55052378515184,44.23232267973845,18.04942864538621,27.996536745419903,37.97234978875429,111086.83519363376,110617.37092181864,111175.88700000002,111160.8618,109571.94655,469.4642718151299,-20.753411590514588,11.271917221664598,15.30827021294136,1
21,14043,BTCUSDT,2025-07-10,2025-07-10 11:00:00,2025-07-10 11:14:59,111088.51,111169.2,111020.0,111081.49,95.00612,0,-6.319285405831376e-05,85.15640586634481,49.27707916336011,48.29709308273413,47.69191116220559,48.08381104748428,48.65982719656525,53.02022762404162,52.23294985605553,48.58020974911605,48.94464618494573,49.60305077749145,47.35203880760104,48.48903388199411,111086.52975399756,110627.68467911155,111172.8615,111156.3596,109585.65865,458.845074886005,-20.117353297711816,4.994063117789315,14.252775570138452,-
