index,index,symbol,date,start,end,open,high,low,close,vol,type,price_change,volatility,rsi_6,rsi_7,rsi_9,rsi_12,rsi_14,rsi_30,rsi_6_of_high,rsi_9_of_high,rsi_14_of_high,rsi_6_of_low,rsi_9_of_low,rsi_14_of_low,ema_34,ema_89,ma_20,ma_50,ma_200,ema_trend,macd,macd_signal,adx_14,position
0,14000,ETHUSDT,2025-07-10,2025-07-10 00:30:00,2025-07-10 00:44:59,2766.66,2770.41,2757.05,2763.01,6592.2232,0,-0.0013192802874222,5.4818315059813685,44.2094301311414,48.33364994846895,53.85425581077199,58.51721180114208,60.371077436502105,64.42265795412278,46.23443863254265,55.56166282501148,61.094759807956095,41.56098684662748,55.252187021489945,64.10941238536329,2736.435415854832,2684.811386721224,2761.1025,2708.4682000000003,2615.6386,51.62402913360757,17.713994464944335,21.464536697594323,56.64380498124024,-
1,14001,ETHUSDT,2025-07-10,2025-07-10 00:45:00,2025-07-10 00:59:59,2763.0,2766.48,2756.67,2756.67,4255.0914,0,-0.0022945990061563,6.89636490349893,35.039237498426786,40.15136795300428,47.2807870649629,53.5184069092492,56.06591780006982,62.32927567463464,38.849812214106215,50.89636217754506,58.3329922359246,40.81484853522316,54.678204974973,63.73468643288992,2737.591677805984,2686.408244794086,2760.6855,2710.3506,2616.7403,51.18343301189816,15.738475472088794,20.31932445249322,55.28472116384036,-
2,14002,ETHUSDT,2025-07-10,2025-07-10 01:00:00,2025-07-10 01:14:59,2756.66,2767.28,2755.5,2766.41,4544.6648,1,0.0035332484483088,6.977711260705314,53.008606017860096,54.08331623844684,56.46488473274964,59.33960542486985,60.7023250049478,64.17913591561984,41.14605193441204,51.82275738716733,58.74185259652205,38.27596297370947,52.77902979728706,62.52292202797297,2739.2384390742136,2688.1860615764394,2761.507,2712.4532,2617.86285,51.05237749777416,14.788328392534368,19.21312524050145,53.857065213524784,-
3,14003,ETHUSDT,2025-07-10,2025-07-10 01:15:00,2025-07-10 01:29:59,2766.41,2774.43,2764.44,2770.27,4711.1159,1,0.0013953101673287,5.957641590989331,58.47166416716686,58.5451010776908,59.602521760923686,61.42803611012002,62.39598885401349,64.88604936794499,58.04335751204862,59.504473598433215,62.30225289373976,60.69462809095748,63.63634574589069,67.59302896102909,2741.011671127116,2690.010149096963,2762.7425000000003,2714.6584,2619.01465,51.00152203015296,14.183303433994295,18.20716087920002,52.99277446971463,-
4,14004,ETHUSDT,2025-07-10,2025-07-10 01:30:00,2025-07-10 01:44:59,2770.27,2774.29,2767.73,2773.13,3237.0606,1,0.0010323903446234,6.020516404024543,62.36213732026636,61.75736647004565,61.8918701614565,62.9655588978043,63.64617278282539,65.40927835515674,57.6544218929096,59.296207895940455,62.18908845498538,66.1276383959094,66.796992068826,69.24214243752638,2742.8470042055665,2691.857256894808,2764.4745,2716.8189999999995,2620.1683,50.9897473107585,13.775796091160828,17.32088792159218,52.19021877903377,-
5,14005,ETHUSDT,2025-07-10,2025-07-10 01:45:00,2025-07-10 01:59:59,2773.13,2778.22,2770.73,2774.38,4073.2562,1,0.0004507542019307,5.634587630974939,64.12483188593325,63.21096580120577,62.92495461955168,63.65629405347614,64.20628516815042,65.64076335030848,65.45249996049449,63.34745984799549,64.15723282307422,70.57775178218853,69.51512492321868,70.70600640895523,2744.648889679534,2693.6910956304787,2766.292,2719.0468,2621.32875,50.95779404905534,13.399249926933408,16.536560322660428,51.6939040858512,-
6,14006,ETHUSDT,2025-07-10,2025-07-10 02:00:00,2025-07-10 02:14:59,2774.38,2789.85,2773.74,2786.85,8337.6302,1,0.0044946979144888,7.916948345444914,77.01263685678376,74.4942990699567,71.57361416056816,69.78857422106847,69.28964645573718,67.86040717280157,79.11218974429106,72.46975539802533,69.25707602032111,74.59613924521224,72.09377333315233,72.13877098384192,2747.060381697846,2695.7612935053567,2768.421,2721.4986,2622.52475,51.29908819248931,13.946294955792837,16.018507249286912,51.85941438466198,-
7,14007,ETHUSDT,2025-07-10,2025-07-10 02:15:00,2025-07-10 02:29:59,2786.86,2798.0,2781.74,2785.0,12026.3761,0,-0.0006638319249331,9.296304880851284,72.38338889747047,70.73911922104081,68.89142100332043,67.93346127123274,67.75234688754605,67.19421397557615,84.32427027672091,76.98552303134248,72.23810982691587,82.30427127048598,77.72705400268836,75.56016227482732,2749.2283598865406,2697.744375871904,2770.102,2724.1046,2623.68455,51.48398401463646,14.068381004548884,15.628482000339307,52.367303804345205,0
8,14008,ETHUSDT,2025-07-10,2025-07-10 02:30:00,2025-07-10 02:44:59,2785.0,2789.26,2776.32,2779.2,7468.1628,0,-0.0020825852782765,9.58378120657465,59.033328454153,59.72677402271885,60.84879502305963,62.27205818427857,63.03080383501752,65.12081406527486,63.82836899232055,64.26750826678914,64.96319951411894,66.0185815668219,67.36271360566822,69.34684979620596,2750.941025035881,2699.5545008525287,2771.3985,2726.5196,2624.81735,51.38652418335232,13.541030974319256,15.210991795135298,52.02490142985028,-
9,14009,ETHUSDT,2025-07-10,2025-07-10 02:45:00,2025-07-10 02:59:59,2779.21,2784.94,2777.29,2783.43,3482.2707,1,0.0015220207253885,9.974113438402602,64.726863728808,64.43734458380693,64.27108966282287,64.61803247678935,64.94926828742449,65.9143353759691,55.78585082692517,58.86047707861464,61.65792761788421,67.40375773983304,68.21601561733725,69.82507628253894,2752.7975378909737,2701.4184008335837,2772.907,2729.1912,2626.0316,51.37913705739038,13.310987150358416,14.83099086617992,51.70695636781928,-
