index,index,symbol,date,start,end,open,high,low,close,vol,type,price_change,volatility,rsi_6,rsi_7,rsi_9,rsi_12,rsi_14,rsi_30,rsi_6_of_high,rsi_9_of_high,rsi_14_of_high,rsi_6_of_low,rsi_9_of_low,rsi_14_of_low,ema_34,ema_89,ma_20,ma_50,ma_200,ema_trend,macd,macd_signal,adx_14,position
0,16601,TRUMPUSDT,2025-07-11,2025-07-11 06:45:00,2025-07-11 06:59:59,10.01,10.02,9.86,9.91,203239.751,0,-0.009,0.0803879482501915,28.082403507761,31.38125530182708,36.52502745775634,41.85955205725306,44.41305840208698,53.59900154557079,25.37652366634967,37.23228571432053,48.02205096167054,23.79619927383173,33.66480891123754,43.23203745252626,9.949288976658403,9.678282813865149,10.074000000000002,9.8396,9.2292,0.271006162793256,0.0545355739634096,0.0851165742519352,28.26164052667912,-
1,16602,TRUMPUSDT,2025-07-11,2025-07-11 07:00:00,2025-07-11 07:14:59,9.91,9.93,9.85,9.86,157318.865,0,-0.0050454086781029,0.1056671924355586,24.25069264971829,27.631362271163454,33.00462165767884,38.69521943540286,41.459517331006765,51.65430314235224,17.1645472110216,28.246723836604417,39.92602432687284,22.955207677129465,32.831849608656455,42.51332521544299,9.944186749420782,9.682320973557037,10.0645,9.8468,9.2355,0.2618657758637468,0.0354685460601622,0.0751869686135806,27.93989396746208,-
2,16603,TRUMPUSDT,2025-07-11,2025-07-11 07:15:00,2025-07-11 07:29:59,9.86,9.98,9.86,9.97,85108.137,1,0.0111561866125762,0.1091380369659078,44.31080365185158,44.61737885468592,45.90816763173888,48.10949104659071,49.42759097787693,55.34188667616934,31.863993741727057,37.65118207025956,45.4302400385787,26.089721185491825,34.65087975633149,43.52442651566391,9.945661792311022,9.688713840811324,10.0605,9.8558,9.2424,0.2569479514996988,0.0289007202549385,0.0659297189418522,26.863644335706123,-
3,16604,TRUMPUSDT,2025-07-11,2025-07-11 07:30:00,2025-07-11 07:44:59,9.97,9.98,9.93,9.96,49758.119,0,-0.0010030090270811,0.1035427984592721,43.06662132397538,43.53365074199969,45.02133345681835,47.38779429251237,48.77759684181758,54.947734070553565,31.863993741727057,37.65118207025956,45.4302400385787,44.91493796185004,46.13796464967693,50.1358990350076,9.946481118464677,9.694742422126629,10.052,9.8646,9.24895,0.2517386963380499,0.0226279140513607,0.0572693579637539,25.864269677647023,-
4,16605,TRUMPUSDT,2025-07-11,2025-07-11 07:45:00,2025-07-11 07:59:59,9.96,9.97,9.88,9.89,98118.504,0,-0.0070281124497991,0.1024207010407236,34.84750117497343,36.327592980441054,39.076749617068025,42.51726750802177,44.37820679929624,52.252840360088,30.31471110404276,36.44216816655356,44.48482965990017,36.86636821168029,40.42749987897063,45.99403615227616,9.94325362598098,9.6990814794127,10.042,9.8732,9.25525,0.24417214656828,0.0118714087459785,0.0481897681201988,25.5123331333239,-
5,16606,TRUMPUSDT,2025-07-11,2025-07-11 08:00:00,2025-07-11 08:14:59,9.89,10.02,9.89,9.96,330781.262,1,0.0070778564206268,0.0908295106321624,46.98807805136965,46.63353860205748,46.95611041533409,48.31265197338118,49.30249370901068,54.5583614172202,46.05276102454976,46.165894126794896,50.078740683470784,39.469599164606656,42.0415329643897,46.938191884250514,9.944210561639212,9.704879668759084,10.0375,9.883,9.2619,0.2393308928801261,0.008892706199072,0.0403303557359735,24.40249373618587,-
6,16607,TRUMPUSDT,2025-07-11,2025-07-11 08:15:00,2025-07-11 08:29:59,9.96,10.05,9.95,10.04,74122.495,1,0.0080321285140561,0.0892001494861152,57.77803834052917,56.106316290573965,54.51891991125015,54.08414330163613,54.28381934788089,57.01239234512047,53.59808981783127,51.20488693707117,53.13036708360409,53.32622158295766,51.00231546570506,52.32385271036338,9.949684243831255,9.712326787231104,10.0365,9.894,9.269,0.2373574566001508,0.0128393898879721,0.0348321625663732,22.9372855109793,-
7,16608,TRUMPUSDT,2025-07-11,2025-07-11 08:30:00,2025-07-11 08:44:59,10.04,10.04,9.98,10.03,67437.225,0,-0.0009960159362549,0.0754320886737289,56.06629206889794,54.690593010716185,53.44731129587712,53.27297803455306,53.57519383726574,56.61701996698918,50.75836310759214,49.46850102772999,51.9895260896438,58.96276863040896,54.922540557406414,54.79445776247306,9.954273715612326,9.719386191959302,10.0345,9.9048,9.27605,0.2348875236530236,0.0149874823520619,0.0308632265235109,21.576735016144628,-
8,16609,TRUMPUSDT,2025-07-11,2025-07-11 08:45:00,2025-07-11 08:59:59,10.03,10.04,10.0,10.02,31522.772,0,-0.0009970089730807,0.061318838880753,54.14148156568678,53.12663280473811,52.29101652886888,52.41537433789177,52.8324622045099,56.21374355109772,50.75836310759214,49.46850102772999,51.9895260896438,62.578159877587645,57.47434684369587,56.41597990248114,9.958029503291622,9.72606649880465,10.029,9.9144,9.2829,0.2319630044869711,0.0157019424609412,0.027830969710997,20.313366699512432,-
9,16610,TRUMPUSDT,2025-07-11,2025-07-11 09:00:00,2025-07-11 09:14:59,10.03,10.04,10.01,10.02,64899.436,0,0.0,0.0629285309035831,54.14148156568678,53.1266328047381,52.29101652886888,52.41537433789177,52.8324622045099,56.21374355109772,50.75836310759214,49.46850102772999,51.9895260896438,64.45697023244577,58.78669258716423,57.24183703846493,9.9615706745321,9.73259835438677,10.0295,9.9236,9.28985,0.2289723201453313,0.0160827651392843,0.0254813287966544,19.140238976925392,-
10,16611,TRUMPUSDT,2025-07-11,2025-07-11 09:15:00,2025-07-11 09:29:59,10.02,10.1,10.02,10.07,49120.259,1,0.0049900199600798,0.0672970199233801,63.23032181442477,60.76278865277519,58.036067970144295,56.575108154485406,56.34216047026469,57.82129748334669,68.21717587327066,60.81908554872697,58.64416369598981,66.47666731939734,60.16951186551518,58.09692003144511,9.96776663598741,9.74009616873373,10.03,9.9332,9.29695,0.2276704672536791,0.0201864550993597,0.0244223540571955,18.45668569377853,-
11,16612,TRUMPUSDT,2025-07-11,2025-07-11 09:30:00,2025-07-11 09:44:59,10.06,10.12,10.05,10.1,79862.762,1,0.0029791459781529,0.0614997741775911,67.82207912563086,64.77926393572812,61.190596765202606,58.92535006074218,58.34492736862797,58.76104226643504,72.16480612184925,63.86304503446875,60.604361891346,72.16979256298575,64.22112872674191,60.63994632539382,9.9753228282167,9.748094031650758,10.0335,9.943,9.30425,0.2272287965659405,0.0255647141267783,0.0246508260711121,18.109021090698445,-
12,16613,TRUMPUSDT,2025-07-11,2025-07-11 09:45:00,2025-07-11 09:59:59,10.09,10.12,10.03,10.06,90531.664,0,-0.0039603960396038,0.0622271823554006,56.527525873233394,55.88115240659931,54.990002431467104,54.62510319304515,54.73922224479527,57.00908788539614,72.16480612184925,63.86304503446874,60.604361891346,63.53754357531748,59.66891985779522,58.10811305788541,9.980161523747173,9.755025275391851,10.0325,9.951,9.31125,0.2251362483553194,0.0262962308676133,0.0249799070304123,17.41560578775603,-
13,16614,TRUMPUSDT,2025-07-11,2025-07-11 10:00:00,2025-07-11 10:14:59,10.07,10.08,10.02,10.07,60489.661,0,0.0009940357852882,0.0611373681102228,58.5960518036896,57.58062023801064,56.23723073397615,55.51057868091021,55.47996479876663,57.338043525344574,53.1516819930813,53.36808155191124,54.60139088667572,59.28302788963466,57.38103000191269,56.83046226096599,9.98529515096162,9.762024713716478,10.0275,9.9568,9.3182,0.2232704372451408,0.0273674051703451,0.0254574066583989,16.585860233008137,-
14,16615,TRUMPUSDT,2025-07-11,2025-07-11 10:15:00,2025-07-11 10:29:59,10.07,10.16,10.06,10.13,130771.598,1,0.0059582919563059,0.0473755680293666,69.16121785516981,66.5894838733389,63.13294406472786,60.54966090385619,59.73771018009678,59.27234681495728,71.299610680337,65.95601034629559,62.58384147232058,69.18675013129959,63.65255722492152,60.56551112742111,9.993563999478097,9.770201942300556,10.0265,9.9648,9.3255,0.2233620571775407,0.0326810898215406,0.0269021432910272,16.968424086779212,-
