index,index,symbol,date,start,end,open,high,low,close,vol,type,price_change,volatility,rsi_6,rsi_7,rsi_9,rsi_12,rsi_14,rsi_30,rsi_6_of_high,rsi_9_of_high,rsi_14_of_high,rsi_6_of_low,rsi_9_of_low,rsi_14_of_low,ema_34,ema_89,ma_20,ma_50,ma_200,ema_trend,macd,macd_signal,adx_14,position
0,14025,XRPUSDT,2025-07-09,2025-07-09 07:15:00,2025-07-09 07:29:59,2.3232,2.328,2.3232,2.3261,507177.9,1,0.0012482782369145,0.0047479118215625,56.672274265685296,57.40303206738734,58.10159046694993,58.228483737260326,58.092421177605466,56.7756099052014,53.531658927153856,57.52452363878428,58.598021189468405,70.31353815953389,70.1907440535634,67.05116293691924,2.315417993593067,2.304874094218472,2.31694,2.311704,2.291632,0.0105438993745949,0.0053423154863772,0.0047073771191015,30.861733849943818,-
1,14026,XRPUSDT,2025-07-09,2025-07-09 07:30:00,2025-07-09 07:44:59,2.3261,2.3278,2.3233,2.3235,992769.1,0,-0.0011177507415844,0.0043803728911286,50.247659803859904,51.95730591090714,53.923598796840125,55.130789882274215,55.44957128398664,55.55951145979447,52.79718043983084,57.0721352667844,58.322578936803446,70.6754835264378,70.38230633334008,67.16627551066728,2.315879822530606,2.305288003235839,2.31748,2.311872,2.2918985000000003,0.0105918192947669,0.0049941834545887,0.004764738386199,31.90517111605248,-
2,14027,XRPUSDT,2025-07-09,2025-07-09 07:45:00,2025-07-09 07:59:59,2.3235,2.3345,2.3234,2.3316,1620812.1,1,0.0034861200774691,0.0037683034789924,65.05685211462892,64.27546926773573,63.19849949838815,62.001072247122906,61.34900177839589,58.42917201001864,69.57722864881117,66.88647603323354,64.36551010842356,71.0983358086415,70.5948920888672,67.28934675006735,2.3167781183860003,2.305872714275043,2.31854,2.31213,2.292203,0.0109054041109573,0.0053106705128223,0.0048739248115236,33.55442638288118,-
3,14028,XRPUSDT,2025-07-09,2025-07-09 08:00:00,2025-07-09 08:14:59,2.3315,2.3353,2.3309,2.335,753664.2,1,0.0014582261108251,0.0040542022093418,69.61284506895026,68.26072582114898,66.39302635436425,64.49078740605634,63.531977931757,59.56300155420291,71.05172719989912,67.87311479736815,65.01773092184396,87.42190622035552,81.68607935154449,74.89105015162937,2.317819368763943,2.306519987291153,2.319955,2.312558,2.292536,0.0112993814727895,0.0057693350682725,0.0050530068628734,35.15649510260021,-
4,14029,XRPUSDT,2025-07-09,2025-07-09 08:15:00,2025-07-09 08:29:59,2.3349,2.3389,2.3333,2.3363,1020821.4,1,0.0005567451820129,0.0048333218389305,71.32807948764822,69.7652770184456,67.60269616895823,65.43541931251966,64.3608075276775,59.9945857751505,77.05652658908714,72.08397975781116,67.86783845691753,89.6636702074779,83.87556572907596,76.75282258263806,2.318875404834575,2.30718176535135,2.32146,2.312856,2.292873,0.0116936394832252,0.0061666439357246,0.0052757342774436,36.94663203515572,-
5,14030,XRPUSDT,2025-07-09,2025-07-09 08:30:00,2025-07-09 08:44:59,2.3363,2.34,2.3346,2.3369,795186.5,1,0.0002568163335188,0.00532349091802,72.19726039716136,70.51780808965397,68.19707713655502,65.89226643022974,64.75891007335645,60.19741432590052,78.67822687961507,73.28751733064792,68.7067925877243,90.73679381125751,84.97050478444085,77.71664158707682,2.319905381701171,2.307842170565764,2.323195,2.31332,2.2932505,0.0120632111354068,0.0064555139152302,0.005511690205001,38.6961050575046,-
6,14031,XRPUSDT,2025-07-09,2025-07-09 08:45:00,2025-07-09 08:59:59,2.3369,2.3378,2.3322,2.3358,1127291.2,0,-0.0004707090590098,0.0056777245049621,67.68330139768679,66.95346325764719,65.71059478388896,64.19530162213474,63.36151637611314,59.62409470420554,67.26717097598242,66.80698694056252,65.04872486275485,73.7696021193869,74.46794331688345,71.79840119647481,2.320813645603961,2.3084634556643024,2.32482,2.3138,2.2936365,0.0123501899396587,0.0065205201508513,0.005713456194171,39.54504141301583,-
7,14032,XRPUSDT,2025-07-09,2025-07-09 09:00:00,2025-07-09 09:14:59,2.3358,2.3387,2.3302,2.3321,846837.7,0,-0.0015840397294287,0.0053987241289882,54.04443794307369,55.87127934720989,57.74375307129353,58.652579494178426,58.767915498012655,57.71153973814671,69.44280494104234,68.10498976814867,65.84975778704361,62.14827748274089,66.73488593817149,67.20550269577396,2.321458580140878,2.308988712205096,2.326335,2.314306,2.2939665,0.0124698679357817,0.0062019863451316,0.0058111622243632,39.72108019398505,-
8,14033,XRPUSDT,2025-07-09,2025-07-09 09:15:00,2025-07-09 09:29:59,2.3321,2.3363,2.3303,2.3353,568723.6,1,0.0013721538527506,0.0053721090415459,61.99301769757526,62.18657100601125,62.202516709377015,61.76711806667635,61.37597875534015,58.89130955401354,57.26332306222368,60.95420232694977,61.78333873598231,62.50270657604344,66.92806674814716,67.31807573246329,2.3222495184185417,2.309573407489427,2.32787,2.31508,2.2943075,0.0126761109291146,0.0061370155703359,0.0058763328935577,39.88454477631361,-
9,14034,XRPUSDT,2025-07-09,2025-07-09 09:30:00,2025-07-09 09:44:59,2.3353,2.3378,2.3335,2.336,792656.9,1,0.0002997473557999,0.0046267819388666,63.6436888935532,63.51896917810438,63.15916774448584,62.44223905377478,61.94306534736789,59.14920710434599,62.23145455440534,63.63860701703579,63.30840677746134,72.41959756357222,72.64664500152533,70.77523290135302,2.3230352602231967,2.310160665100773,2.32933,2.3156980000000003,2.29464,0.0128745951224238,0.006072015498113,0.0059154694144688,40.23175079827907,-
